pmid	journal	doi	text_path
25758642	?		/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_25758642.txt
28940471	J Mass Spectrom	10.1002/jms.4032	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_28940471.txt
29145893	Microbiome	10.1186/s40168-017-0366-3	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_29145893.txt
29340028	Oncotarget	10.18632/oncotarget.20677	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_29340028.txt
29642940	Microbiome	10.1186/s40168-018-0451-2	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_29642940.txt
29755677	Oncotarget	10.18632/oncotarget.25042	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_29755677.txt
29995183	Dig Dis Sci	10.1007/s10620-018-5190-5	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_29995183.txt
30115102	Syst Rev	10.1186/s13643-018-0792-8	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30115102.txt
30233512	Front Microbiol	10.3389/fmicb.2018.02004	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30233512.txt
30459201	mBio	10.1128/mBio.02248-18	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30459201.txt
30604764	Nat Commun	10.1038/s41467-018-07841-3	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30604764.txt
30794590	PLoS One	10.1371/journal.pone.0212406	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30794590.txt
30944520	Int J Tryptophan Res	10.1177/1178646919834550	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_30944520.txt
31060614	Microbiome	10.1186/s40168-019-0685-7	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_31060614.txt
31171880	Nat Med	10.1038/s41591-019-0458-7	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_31171880.txt
31250341	Front Med	10.1007/s11684-019-0695-7	/scratch/karcher/seq_metadata_curator/data/prefilter/text/PMID_31250341.txt
