Supplementary Table 2: ANCOM Oral Microbiota
ID FDR_CRCvsHC FDR_POLvsHC taxonomy.Kingdom taxonomy.Phylum
OTU03195 ns ns Bacteria Bacteroidetes
OTU03215 ns ns Bacteria Firmicutes
OTU03249 ns ns Bacteria Bacteroidetes
OTU03251 ns ns Bacteria Bacteroidetes
OTU03287 ns ns Bacteria Firmicutes
OTU03294 ns ns Bacteria Bacteroidetes
OTU03322 ns ns Bacteria Proteobacteria
OTU03326 ns ns Bacteria Bacteroidetes
OTU03341 ns ns Bacteria Bacteroidetes
OTU03344 ns ns Bacteria Proteobacteria
OTU03355 ns ns Bacteria Bacteroidetes
OTU03368 ns ns Bacteria Bacteroidetes
OTU03383 ns ns Bacteria Actinobacteria
OTU03395 ns ns Bacteria Firmicutes
OTU03399 ns ns Bacteria Firmicutes
OTU03419 ns ns Bacteria Firmicutes
OTU03431 ns ns Bacteria Bacteroidetes
OTU03432 ns ns Bacteria Proteobacteria
OTU03435 ns ns Bacteria Firmicutes
OTU03448 ns ns Bacteria Firmicutes
OTU03459 ns ns Bacteria Spirochaetes
OTU03463 ns ns Bacteria Firmicutes
OTU03475 ns ns Bacteria Proteobacteria
OTU03569 ns ns Bacteria Bacteroidetes
OTU03572 ns ns Bacteria Bacteroidetes
OTU03586 ns ns Bacteria Actinobacteria
OTU03589 ns ns Bacteria Proteobacteria
OTU03645 ns ns Bacteria Firmicutes
OTU03661 ns ns Bacteria Proteobacteria
OTU03662 ns ns Bacteria Bacteroidetes
OTU03751 ns ns Bacteria Bacteroidetes
OTU03809 ns ns Bacteria Bacteroidetes
OTU03813 ns ns Bacteria Bacteroidetes
OTU03848 ns ns Bacteria Spirochaetes
OTU03898 ns ns Bacteria Bacteroidetes
OTU03905 ns ns Bacteria Spirochaetes
OTU03994 ns ns Bacteria Actinobacteria
OTU04003 ns ns Bacteria Firmicutes
OTU04133 ns ns Bacteria Bacteroidetes
OTU04166 ns ns Bacteria Bacteroidetes
OTU04291 ns ns Bacteria Bacteroidetes
OTU04294 ns ns Bacteria Bacteroidetes
OTU04297 ns ns Bacteria Actinobacteria
OTU04305 ns ns Bacteria Firmicutes
OTU04310 ns ns Bacteria Bacteroidetes
OTU04365 ns ns Bacteria BacteroidetesOTU04446 ns ns Bacteria Bacteroidetes
OTU04468 ns ns Bacteria Actinobacteria
OTU04489 ns ns Bacteria Firmicutes
OTU04497 ns ns Bacteria Actinobacteria
OTU04514 ns ns Bacteria Firmicutes
OTU04595 ns ns Bacteria Bacteroidetes
OTU04652 ns ns Bacteria Firmicutes
OTU04655 ns ns Bacteria Actinobacteria
OTU04725 ns ns Bacteria Proteobacteria
OTU04789 ns ns Bacteria Bacteroidetes
OTU04816 ns ns Bacteria Firmicutes
OTU04829 ns ns Bacteria Bacteroidetes
OTU04846 ns ns Bacteria Fusobacteria
OTU04887 ns ns Bacteria Verrucomicrobia
OTU04914 ns ns Bacteria Firmicutes
OTU04943 ns ns Bacteria Actinobacteria
OTU04966 ns ns Bacteria Firmicutes
OTU05024 ns ns Bacteria Candidatus_Saccharibacteria
OTU05049 ns ns Bacteria Firmicutes
OTU05092 ns ns Bacteria Firmicutes
OTU05104 ns ns Bacteria Firmicutes
OTU05154 ns ns Bacteria Fusobacteria
OTU05191 ns ns Bacteria Bacteroidetes
OTU05225 ns ns Bacteria Actinobacteria
OTU05230 ns ns Bacteria Firmicutes
OTU05235 ns ns Bacteria Bacteroidetes
OTU05258 ns ns Bacteria Fusobacteria
OTU05262 ns ns Bacteria Fusobacteria
OTU05267 ns ns Bacteria Spirochaetes
OTU05280 ns ns Bacteria Bacteroidetes
OTU05309 ns ns Bacteria Firmicutes
OTU05326 ns ns Bacteria Bacteroidetes
OTU05411 ns ns Bacteria Bacteroidetes
OTU05461 ns ns Bacteria Fusobacteria
OTU05499 ns ns Bacteria Firmicutes
OTU05508 ns ns Bacteria Actinobacteria
OTU05515 ns ns Bacteria Proteobacteria
OTU05539 ns ns Bacteria Proteobacteria
OTU05792 ns ns Bacteria Bacteroidetes
OTU05932 ns ns Bacteria Proteobacteria
OTU06042 ns ns Bacteria Firmicutes
OTU06066 ns ns Bacteria Fusobacteria
OTU06070 ns ns Bacteria Bacteroidetes
OTU06074 ns ns Bacteria Bacteroidetes
OTU06164 ns ns Bacteria Bacteroidetes
OTU06220 ns ns Bacteria Bacteroidetes
OTU06291 ns ns Bacteria Proteobacteria
OTU06383 ns ns Bacteria Proteobacteria
OTU06445 ns ns Bacteria Bacteroidetes
OTU06578 ns ns Bacteria FirmicutesOTU06692 ns ns Bacteria Firmicutes
OTU06731 ns ns Bacteria Bacteroidetes
OTU06772 ns ns Bacteria Actinobacteria
OTU06775 ns ns Bacteria Fusobacteria
OTU06780 ns ns Bacteria Firmicutes
OTU06808 ns ns Bacteria Bacteroidetes
OTU06915 ns ns Bacteria Bacteroidetes
OTU06946 ns ns Bacteria Bacteroidetes
OTU07029 ns ns Bacteria Proteobacteria
OTU07098 ns ns Bacteria Actinobacteria
OTU07139 ns ns Bacteria Firmicutes
OTU07148 ns ns Bacteria Bacteroidetes
OTU07154 ns ns Bacteria Bacteroidetes
OTU07157 ns ns Bacteria Firmicutes
OTU07172 ns ns Bacteria Firmicutes
OTU07201 ns ns Bacteria Firmicutes
OTU07214 ns ns Bacteria Fusobacteria
OTU07355 ns ns Bacteria Firmicutes
OTU07373 ns ns Bacteria Bacteroidetes
OTU07410 ns ns Bacteria Proteobacteria
OTU07504 ns ns Bacteria Bacteroidetes
OTU07512 ns ns Bacteria Firmicutes
OTU07525 ns ns Bacteria Fusobacteria
OTU07528 ns ns Bacteria Actinobacteria
OTU07576 ns ns Bacteria Firmicutes
OTU07609 ns ns Bacteria Firmicutes
OTU07754 ns ns Bacteria Firmicutes
OTU07768 ns ns Bacteria Bacteroidetes
OTU07891 ns ns Bacteria Bacteroidetes
OTU07904 ns ns Bacteria Spirochaetes
OTU07905 ns ns Bacteria Firmicutes
OTU08020 ns ns Bacteria Firmicutes
OTU08041 ns ns Bacteria Proteobacteria
OTU08059 ns ns Bacteria Bacteroidetes
OTU08061 ns ns Bacteria Proteobacteria
OTU08076 ns ns Bacteria Bacteroidetes
OTU08099 ns ns Bacteria Firmicutes
OTU08166 ns ns Bacteria Bacteroidetes
OTU08172 ns ns Bacteria Actinobacteria
OTU08195 ns ns Bacteria Firmicutes
OTU08330 ns ns Bacteria Firmicutes
OTU08362 ns ns Bacteria Bacteroidetes
OTU08388 ns ns Bacteria Proteobacteria
OTU08405 ns ns Bacteria Proteobacteria
OTU08436 ns ns Bacteria Firmicutes
OTU08446 ns ns Bacteria Bacteroidetes
OTU08451 ns ns Bacteria Firmicutes
OTU08558 ns ns Bacteria Firmicutes
OTU08697 ns ns Bacteria Proteobacteria
OTU08766 ns ns Bacteria FirmicutesOTU08779 ns ns Bacteria Firmicutes
OTU08798 ns ns Bacteria Bacteroidetes
OTU08807 ns ns Bacteria Bacteroidetes
OTU08808 ns ns Bacteria Bacteroidetes
OTU08861 ns ns Bacteria Bacteroidetes
OTU08873 ns ns Bacteria Bacteroidetes
OTU08875 ns ns Bacteria Fusobacteria
OTU08991 ns ns Bacteria Bacteroidetes
OTU09001 ns ns Bacteria Fusobacteria
OTU09002 ns ns Bacteria Proteobacteria
OTU09018 ns ns Bacteria Proteobacteria
OTU09134 ns ns Bacteria Proteobacteria
OTU09150 ns ns Bacteria Fusobacteria
OTU09349 ns ns Bacteria Firmicutes
OTU09455 ns ns Bacteria Bacteroidetes
OTU09501 ns ns Bacteria Firmicutes
OTU09530 ns ns Bacteria Firmicutes
OTU09543 ns ns Bacteria Firmicutes
OTU09548 ns ns Bacteria Bacteroidetes
OTU09577 ns ns Bacteria Bacteroidetes
OTU09656 ns ns Bacteria Firmicutes
OTU09667 ns ns Bacteria Firmicutes
OTU09704 ns ns Bacteria Proteobacteria
OTU09705 ns ns Bacteria Bacteroidetes
OTU09773 ns ns Bacteria Firmicutes
OTU09893 ns ns Bacteria Proteobacteria
OTU09904 ns ns Bacteria Proteobacteria
OTU10042 ns ns Bacteria Actinobacteria
OTU10089 ns ns Bacteria Proteobacteria
OTU10091 ns ns Bacteria Firmicutes
OTU10098 ns ns Bacteria Firmicutes
OTU10128 ns ns Bacteria Actinobacteria
OTU10131 ns ns Bacteria Bacteroidetes
OTU10133 ns ns Bacteria Firmicutestaxonomy.Class taxonomy.Order taxonomy.Family taxonomy.Genus
Gammaproteobacteria Pasteurellales Pasteurellaceae OTU00037 Haemophilus
Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI OTU00103 Parvimonas
Bacteroidia Bacteroidales Prevotellaceae OTU00120 Prevotella
Bacteroidia Bacteroidales Prevotellaceae OTU00189 Prevotella
Bacteroidia Bacteroidales Prevotellaceae OTU00215 Alloprevotella
Clostridia Clostridiales Lachnospiraceae OTU00465 Lachnoanaerobaculum
Betaproteobacteria Neisseriales Neisseriaceae OTU01421 Neisseria
Bacilli Lactobacillales Streptococcaceae OTU02032 Streptococcus
Betaproteobacteria Neisseriales Neisseriaceae OTU00034 Neisseria
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU00236 Leptotrichia
Bacilli Lactobacillales Streptococcaceae OTU00001 Streptococcus
Gammaproteobacteria PseudomonadalesPseudomonadaceae OTU00002 Pseudomonas
Gammaproteobacteria Enterobacteriales Enterobacteriaceae OTU00005 Escherichia/Shigella
Clostridia Clostridiales Lachnospiraceae OTU00006 Blautia
Clostridia Clostridiales Ruminococcaceae OTU00007 Faecalibacterium
Bacteroidia Bacteroidales Bacteroidaceae OTU00009 Bacteroides
Bacilli Lactobacillales Streptococcaceae OTU00010 Streptococcus
Gammaproteobacteria Pasteurellales Pasteurellaceae OTU00011 Haemophilus
Clostridia Clostridiales Lachnospiraceae OTU00012 Ruminococcus2
Clostridia Clostridiales Lachnospiraceae OTU00016 Roseburia
Bacilli Bacillales Bacillales_Incertae_Sedis_XI OTU00017 Gemella
Bacteroidia Bacteroidales Bacteroidaceae OTU00018 Bacteroides
Bacteroidia Bacteroidales Bacteroidaceae OTU00019 Bacteroides
Clostridia Clostridiales Lachnospiraceae OTU00020 Anaerostipes
Bacteroidia Bacteroidales Rikenellaceae OTU00021 Alistipes
Bacteroidia Bacteroidales Prevotellaceae OTU00022 Prevotella
Clostridia Clostridiales Lachnospiraceae OTU00023 Roseburia
Clostridia Clostridiales Lachnospiraceae OTU00025 Clostridium_XlVa
Clostridia Clostridiales Ruminococcaceae OTU00027 Gemmiger
Clostridia Clostridiales Clostridiaceae_1 OTU00028 Clostridium_sensu_stricto
Negativicutes Selenomonadales Veillonellaceae OTU00029 Veillonella
Actinobacteria Actinomycetales Micrococcaceae OTU00030 Rothia
Clostridia Clostridiales Lachnospiraceae OTU00031 Coprococcus
Bacteroidia Bacteroidales Bacteroidaceae OTU00032 Bacteroides
Actinobacteria Actinomycetales Micrococcaceae OTU00033 Rothia
Clostridia Clostridiales Lachnospiraceae OTU00038 unclassified.Lachnospiraceae
Clostridia Clostridiales Peptostreptococcaceae OTU00039 Clostridium_XI
Clostridia Clostridiales Lachnospiraceae OTU00040 Dorea
Fusobacteriia Fusobacteriales Fusobacteriaceae OTU00041 Fusobacterium
Actinobacteria Bifidobacteriales BifidobacteriaceaeOTU00042 Bifidobacterium
Betaproteobacteria Neisseriales Neisseriaceae OTU00043 Neisseria
Clostridia Clostridiales Ruminococcaceae OTU00044 unclassified.Ruminococcaceae
Clostridia Clostridiales Lachnospiraceae OTU00045 Coprococcus
Clostridia Clostridiales Clostridiaceae_1 OTU00046 Clostridium_sensu_stricto
Bacilli Lactobacillales CarnobacteriaceaeOTU00047 Granulicatella
Clostridia Clostridiales Lachnospiraceae OTU00048 Coprococcus
Clostridia Clostridiales Peptostreptococcaceae OTU00049 Clostridium_XI
Bacteroidia Bacteroidales Prevotellaceae OTU00050 PrevotellaClostridia Clostridiales Lachnospiraceae OTU00053 Clostridium_XlVa
Gammaproteobacteria Pasteurellales Pasteurellaceae OTU00054 Haemophilus
Bacteroidia Bacteroidales Bacteroidaceae OTU00055 Bacteroides
Clostridia Clostridiales Ruminococcaceae OTU00056 Oscillibacter
Bacteroidia Bacteroidales Bacteroidaceae OTU00058 Bacteroides
Bacteroidia Bacteroidales Prevotellaceae OTU00059 Prevotella
Bacteroidia Bacteroidales Rikenellaceae OTU00060 Alistipes
Betaproteobacteria Burkholderiales Sutterellaceae OTU00061 Sutterella
Bacteroidia Bacteroidales Bacteroidaceae OTU00062 Bacteroides
Actinobacteria Bifidobacteriales BifidobacteriaceaeOTU00063 Bifidobacterium
Erysipelotrichia Erysipelotrichales Erysipelotrichaceae OTU00064 Clostridium_XVIII
Bacilli Lactobacillales Streptococcaceae OTU00065 Streptococcus
Clostridia Clostridiales Lachnospiraceae OTU00066 unclassified.Lachnospiraceae
Clostridia Clostridiales Lachnospiraceae OTU00067 unclassified.Lachnospiraceae
Bacteroidia Bacteroidales Porphyromonadaceae OTU00068 Porphyromonas
Clostridia Clostridiales Ruminococcaceae OTU00069 Ruminococcus
Opitutae Puniceicoccales Puniceicoccaceae OTU00070 unclassified.Puniceicoccaceae
Clostridia Clostridiales Lachnospiraceae OTU00071 Lachnospira
Bacteroidia Bacteroidales Prevotellaceae OTU00072 Prevotella
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU00073 Leptotrichia
Bacilli Lactobacillales Enterococcaceae OTU00074 Enterococcus
Clostridia Clostridiales Ruminococcaceae OTU00075 unclassified.Ruminococcaceae
Bacteroidia Bacteroidales Prevotellaceae OTU00076 Alloprevotella
Deltaproteobacteria DesulfovibrionalesDesulfovibrionaceae OTU00077 Desulfovibrio
Bacteroidia Bacteroidales Bacteroidaceae OTU00078 Bacteroides
Bacteroidia Bacteroidales Bacteroidaceae OTU00079 Bacteroides
Clostridia Clostridiales Lachnospiraceae OTU00080 Clostridium_XlVb
Clostridia Clostridiales Ruminococcaceae OTU00081 Ruminococcus
Clostridia Clostridiales Ruminococcaceae OTU00082 Clostridium_IV
Epsilonproteobacteria CampylobacteralesCampylobacteraceae OTU00083 Campylobacter
Actinobacteria Actinomycetales Corynebacteriaceae OTU00084 Corynebacterium
Gammaproteobacteria PseudomonadalesPseudomonadaceae OTU00085 Pseudomonas
Betaproteobacteria Burkholderiales Sutterellaceae OTU00086 Sutterella
Clostridia Clostridiales Lachnospiraceae OTU00087 Clostridium_XlVa
Gammaproteobacteria Enterobacteriales Enterobacteriaceae OTU00088 Klebsiella
Clostridia Clostridiales Ruminococcaceae OTU00089 unclassified.Ruminococcaceae
Clostridia Clostridiales Lachnospiraceae OTU00090 Coprococcus
Actinobacteria Coriobacteriales CoriobacteriaceaeOTU00091 Collinsella
Clostridia Clostridiales Lachnospiraceae OTU00092 Clostridium_XlVa
Negativicutes Selenomonadales Veillonellaceae OTU00093 Dialister
Clostridia Clostridiales Ruminococcaceae OTU00095 Oscillibacter
Fusobacteriia Fusobacteriales Fusobacteriaceae OTU00096 Fusobacterium
Clostridia Clostridiales Peptostreptococcaceae OTU00097 Peptostreptococcus
Bacteroidia Bacteroidales Marinilabiaceae OTU00098 unclassified.Marinilabiaceae
Gammaproteobacteria Pasteurellales Pasteurellaceae OTU00099 Aggregatibacter
unclassified unclassified unclassified OTU00100 unclassified.Firmicutes
Clostridia Clostridiales Lachnospiraceae OTU00101 Clostridium_XlVa
Bacteroidia Bacteroidales Porphyromonadaceae OTU00102 Odoribacter
Clostridia Clostridiales Lachnospiraceae OTU00104 unclassified.Lachnospiraceae
Clostridia Clostridiales Ruminococcaceae OTU00106 unclassified.RuminococcaceaeGammaproteobacteria Enterobacteriales Enterobacteriaceae OTU00107 Raoultella
Deltaproteobacteria DesulfovibrionalesDesulfovibrionaceae OTU00108 Bilophila
Bacilli Lactobacillales Streptococcaceae OTU00109 Streptococcus
Clostridia Clostridiales Ruminococcaceae OTU00110 Clostridium_IV
Clostridia Clostridiales Ruminococcaceae OTU00111 unclassified.Ruminococcaceae
Clostridia Clostridiales Ruminococcaceae OTU00112 Clostridium_IV
Clostridia Clostridiales Ruminococcaceae OTU00115 unclassified.Ruminococcaceae
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU00117 Leptotrichia
Clostridia Clostridiales unclassified OTU00118 unclassified.Clostridiales
Bacteroidia Bacteroidales Porphyromonadaceae OTU00121 Barnesiella
Erysipelotrichia Erysipelotrichales Erysipelotrichaceae OTU00122 unclassified.Erysipelotrichaceae
Betaproteobacteria Burkholderiales unclassified OTU00123 unclassified.Burkholderiales
Epsilonproteobacteria CampylobacteralesCampylobacteraceae OTU00124 Campylobacter
Bacilli Lactobacillales CarnobacteriaceaeOTU00125 Granulicatella
Actinobacteria Actinomycetales ActinomycetaceaeOTU00126 Actinomyces
Clostridia Clostridiales Lachnospiraceae OTU00127 Lachnospira
Bacteroidia Bacteroidales Prevotellaceae OTU00128 Prevotella
Bacteroidia Bacteroidales Bacteroidaceae OTU00129 Bacteroides
Bacteroidia Bacteroidales Porphyromonadaceae OTU00130 Parabacteroides
Clostridia Clostridiales Ruminococcaceae OTU00131 Flavonifractor
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU00133 Capnocytophaga
Clostridia Clostridiales Lachnospiraceae OTU00134 Blautia
Negativicutes Selenomonadales Veillonellaceae OTU00135 Megamonas
Actinobacteria Bifidobacteriales BifidobacteriaceaeOTU00137 Bifidobacterium
Actinobacteria Coriobacteriales CoriobacteriaceaeOTU00138 Atopobium
Clostridia Clostridiales unclassified OTU00139 unclassified.Clostridiales
Clostridia Clostridiales Ruminococcaceae OTU00140 Clostridium_IV
Clostridia Clostridiales Ruminococcaceae OTU00141 unclassified.Ruminococcaceae
Clostridia Clostridiales Ruminococcaceae OTU00143 Acetanaerobacterium
Clostridia Clostridiales Lachnospiraceae OTU00144 unclassified.Lachnospiraceae
Clostridia Clostridiales Ruminococcaceae OTU00145 Flavonifractor
Bacteroidia Bacteroidales Porphyromonadaceae OTU00148 Porphyromonas
Negativicutes Selenomonadales Veillonellaceae OTU00149 Centipeda
Bacteroidia Bacteroidales Porphyromonadaceae OTU00150 Parabacteroides
Bacteroidia Bacteroidales Porphyromonadaceae OTU00151 Porphyromonas
Bacilli Lactobacillales Streptococcaceae OTU00152 Lactococcus
unclassified unclassified unclassified OTU00153 unclassified.Candidatus_Saccharibacteria
Negativicutes Selenomonadales Veillonellaceae OTU00154 Veillonella
Betaproteobacteria Burkholderiales Sutterellaceae OTU00155 Parasutterella
Clostridia Clostridiales Lachnospiraceae OTU00156 Clostridium_XlVa
Clostridia Clostridiales Lachnospiraceae OTU00157 Lachnoanaerobaculum
Clostridia Clostridiales Ruminococcaceae OTU00158 Ruminococcus
Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI OTU00159 Anaerococcus
Betaproteobacteria Burkholderiales unclassified OTU00161 unclassified.Burkholderiales
Clostridia Clostridiales Ruminococcaceae OTU00162 Butyricicoccus
unclassified unclassified unclassified OTU00164 unclassified.Bacteroidetes
Clostridia Clostridiales Ruminococcaceae OTU00166 Oscillibacter
Clostridia Clostridiales Lachnospiraceae OTU00167 unclassified.Lachnospiraceae
Negativicutes Selenomonadales Veillonellaceae OTU00168 Veillonella
Clostridia Clostridiales unclassified OTU00169 unclassified.ClostridialesFlavobacteriia Flavobacteriales Flavobacteriaceae OTU00171 unclassified.Flavobacteriaceae
Clostridia Clostridiales Lachnospiraceae OTU00172 unclassified.Lachnospiraceae
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU00173 Capnocytophaga
Clostridia Clostridiales Lachnospiraceae OTU00174 Blautia
Negativicutes Selenomonadales Acidaminococcaceae OTU00175 Succiniclasticum
Betaproteobacteria Neisseriales Neisseriaceae OTU00176 Kingella
Negativicutes Selenomonadales Veillonellaceae OTU00177 Dialister
Clostridia Clostridiales Ruminococcaceae OTU00179 Ruminococcus
Erysipelotrichia Erysipelotrichales Erysipelotrichaceae OTU00180 Solobacterium
Bacteroidia Bacteroidales Prevotellaceae OTU00181 Alloprevotella
Bacteroidia Bacteroidales Prevotellaceae OTU00182 Alloprevotella
Epsilonproteobacteria CampylobacteralesCampylobacteraceae OTU00183 Campylobacter
Negativicutes Selenomonadales Acidaminococcaceae OTU00185 Phascolarctobacterium
Bacilli Lactobacillales Streptococcaceae OTU00186 Streptococcus
Clostridia Clostridiales unclassified OTU00187 unclassified.Clostridiales
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU00188 Capnocytophaga
Bacteroidia Bacteroidales Prevotellaceae OTU00192 Prevotella
Bacteroidia Bacteroidales Porphyromonadaceae OTU00193 Porphyromonas
Bacteroidia Bacteroidales Prevotellaceae OTU00196 Alloprevotella
Bacilli Lactobacillales Lactobacillaceae OTU00197 Lactobacillus
Bacilli Lactobacillales Streptococcaceae OTU00198 Streptococcus
Clostridia Clostridiales Lachnospiraceae OTU00200 unclassified.Lachnospiraceae
Bacteroidia Bacteroidales Porphyromonadaceae OTU00201 Barnesiella
Actinobacteria Actinomycetales ActinomycetaceaeOTU00202 Actinomyces
Bacteroidia Bacteroidales Prevotellaceae OTU00203 Prevotella
Deltaproteobacteria unclassified unclassified OTU00204 unclassified.Deltaproteobacteria
Clostridia Clostridiales Ruminococcaceae OTU00205 Saccharofermentans
Clostridia Clostridiales unclassified OTU00206 unclassified.Clostridiales
Bacteroidia Bacteroidales Porphyromonadaceae OTU00208 Tannerella
Bacilli Lactobacillales Lactobacillaceae OTU00209 Lactobacillus
Clostridia Clostridiales Lachnospiraceae OTU00210 Clostridium_XlVb
Bacilli Lactobacillales Lactobacillaceae OTU00212 Lactobacillus
Actinobacteria Actinomycetales Corynebacteriaceae OTU00217 Corynebacterium
unclassified unclassified unclassified OTU00218 unclassified.Candidatus_Saccharibacteria
Clostridia Clostridiales Lachnospiraceae OTU00220 unclassified.Lachnospiraceae
Negativicutes Selenomonadales Veillonellaceae OTU00221 Megasphaera
Clostridia Clostridiales unclassified OTU00222 unclassified.Clostridiales
Bacteroidia Bacteroidales Rikenellaceae OTU00223 Alistipes
Alphaproteobacteria Rhodospirillales Rhodospirillaceae OTU00224 unclassified.Rhodospirillaceae
Betaproteobacteria Neisseriales Neisseriaceae OTU00226 Neisseria
Gammaproteobacteria Enterobacteriales Enterobacteriaceae OTU00227 Morganella
Erysipelotrichia Erysipelotrichales Erysipelotrichaceae OTU00228 Turicibacter
Clostridia Clostridiales Lachnospiraceae OTU00229 Oribacterium
Actinobacteria Actinomycetales ActinomycetaceaeOTU00231 unclassified.Actinomycetaceae
Negativicutes Selenomonadales Veillonellaceae OTU00232 Selenomonas
Clostridia Clostridiales Ruminococcaceae OTU00235 unclassified.Ruminococcaceae
Clostridia Clostridiales unclassified OTU00237 unclassified.Clostridiales
Clostridia Clostridiales Ruminococcaceae OTU00238 Ruminococcus
unclassified unclassified unclassified OTU00239 unclassified.SR1
Bacteroidia Bacteroidales Bacteroidaceae OTU00241 BacteroidesFusobacteriia Fusobacteriales Leptotrichiaceae OTU00244 Streptobacillus
Fusobacteriia Fusobacteriales Fusobacteriaceae OTU00245 Fusobacterium
Clostridia Clostridiales Ruminococcaceae OTU00247 unclassified.Ruminococcaceae
Bacteroidia Bacteroidales Bacteroidaceae OTU00250 Bacteroides
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU00252 Leptotrichia
Bacilli Lactobacillales Lactobacillaceae OTU00253 Lactobacillus
Spirochaetia Spirochaetales Spirochaetaceae OTU00254 Treponema
Bacteroidia Bacteroidales Prevotellaceae OTU00256 Prevotella
Clostridia Clostridiales Ruminococcaceae OTU00260 Clostridium_IV
Bacilli Lactobacillales Lactobacillaceae OTU00262 Lactobacillus
Bacteroidia Bacteroidales Porphyromonadaceae OTU00266 Porphyromonas
Bacteroidia Bacteroidales Bacteroidaceae OTU00267 Bacteroides
Negativicutes Selenomonadales Veillonellaceae OTU00269 Megasphaera
Bacteroidia Bacteroidales Porphyromonadaceae OTU00270 Porphyromonas
Bacteroidia Bacteroidales Porphyromonadaceae OTU00271 Paludibacter
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU00272 Leptotrichia
Clostridia Clostridiales Lachnospiraceae OTU00273 unclassified.Lachnospiraceae
Clostridia Clostridiales Ruminococcaceae OTU00275 Ruminococcus
Bacteroidia Bacteroidales Prevotellaceae OTU00278 Prevotella
Betaproteobacteria Neisseriales Neisseriaceae OTU00281 Neisseria
Actinobacteria Actinomycetales ActinomycetaceaeOTU00284 Actinomyces
Bacteroidia Bacteroidales Bacteroidaceae OTU00291 Bacteroides
Bacteroidia Bacteroidales Prevotellaceae OTU00295 Prevotella
Bacilli Lactobacillales Lactobacillaceae OTU00296 Lactobacillus
Methanobacteria Methanobacteriales Methanobacteriaceae OTU00298 Methanobrevibacter
Gammaproteobacteria Cardiobacteriales Cardiobacteriaceae OTU00299 Cardiobacterium
Actinobacteria Actinomycetales ActinomycetaceaeOTU00300 Actinobaculum
Synergistia Synergistales Synergistaceae OTU00301 Jonquetella
unclassified unclassified unclassified OTU00302 unclassified.Candidatus_Saccharibacteria
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU00305 Leptotrichia
Clostridia Clostridiales unclassified OTU00306 unclassified.Clostridiales
Clostridia Clostridiales Ruminococcaceae OTU00307 Ruminococcus
Bacteroidia Bacteroidales Porphyromonadaceae OTU00309 Porphyromonas
Clostridia Clostridiales Ruminococcaceae OTU00310 Acetanaerobacterium
Clostridia Clostridiales Lachnospiraceae OTU00311 unclassified.Lachnospiraceae
Spirochaetia Spirochaetales Spirochaetaceae OTU00312 Treponema
Actinobacteria Coriobacteriales CoriobacteriaceaeOTU00314 unclassified.Coriobacteriaceae
Actinobacteria Bifidobacteriales BifidobacteriaceaeOTU00315 Scardovia
Clostridia Clostridiales Lachnospiraceae OTU00318 Catonella
Clostridia Clostridiales Ruminococcaceae OTU00321 Pseudoflavonifractor
Clostridia Clostridiales Ruminococcaceae OTU00324 Faecalibacterium
Bacteroidia Bacteroidales Porphyromonadaceae OTU00325 Butyricimonas
Actinobacteria Actinomycetales ActinomycetaceaeOTU00327 Actinomyces
Betaproteobacteria Neisseriales Neisseriaceae OTU00328 Eikenella
Clostridia Clostridiales unclassified OTU00330 unclassified.Clostridiales
Clostridia Clostridiales Ruminococcaceae OTU00332 unclassified.Ruminococcaceae
Fusobacteriia Fusobacteriales Leptotrichiaceae OTU00337 Leptotrichia
Actinobacteria Actinomycetales ActinomycetaceaeOTU00339 Actinomyces
Synergistia Synergistales Synergistaceae OTU00340 Pyramidobacter
Opitutae Puniceicoccales Puniceicoccaceae OTU00350 CoraliomargaritaClostridia Clostridiales Ruminococcaceae OTU00351 Flavonifractor
Clostridia Clostridiales Eubacteriaceae OTU00352 Eubacterium
Negativicutes Selenomonadales Veillonellaceae OTU00353 Veillonella
Bacteroidia Bacteroidales Prevotellaceae OTU00356 Prevotella
Flavobacteriia Flavobacteriales Flavobacteriaceae OTU00358 Capnocytophaga
Clostridia Clostridiales Lachnospiraceae OTU00359 Moryella
Negativicutes Selenomonadales Veillonellaceae OTU00360 Selenomonas
Negativicutes Selenomonadales Veillonellaceae OTU00362 Selenomonas
Clostridia Clostridiales unclassified OTU00363 unclassified.Clostridiales
Bacteroidia Bacteroidales Prevotellaceae OTU00364 Prevotella
Clostridia Clostridiales Ruminococcaceae OTU00365 unclassified.Ruminococcaceae
Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI OTU00368 Peptoniphilus
unclassified unclassified unclassified OTU00369 unclassified.SR1
Clostridia Clostridiales Lachnospiraceae OTU00371 Oribacterium
Clostridia Clostridiales Lachnospiraceae OTU00375 Clostridium_XlVa
Bacilli Lactobacillales Lactobacillaceae OTU00376 Lactobacillus
