priority	publisher_bucket	doi_prefix	n_papers_in_prefix	journal	pmid	doi	cur_pdf_ok	cur_supp_ok	cur_reads_ok	gap_score
P0-pure-OA	bmc	10.1186	45	BMC Microbiol	34544375	10.1186/s12866-021-02312-0	yes	yes	no	1
P0-pure-OA	bmc	10.1186	45	Hered Cancer Clin Pract	34711244	10.1186/s13053-021-00203-z	yes	yes	no	1
P0-pure-OA	bmc	10.1186	45	BMC Microbiol	34715774	10.1186/s12866-021-02359-z	yes	yes	yes	0
P0-pure-OA	bmc	10.1186	45	J Transl Med	34844611	10.1186/s12967-021-03154-0	yes	yes	no	1
P0-pure-OA	bmc	10.1186	45	Gut Pathog	34983654	10.1186/s13099-021-00477-7	yes	yes	yes	0
P0-pure-OA	bmc	10.1186	45	J Exp Clin Cancer Res	35183223	10.1186/s13046-021-02239-4	yes	yes	no	1
P0-pure-OA	bmc	10.1186	45	Microbiome	35189961	10.1186/s40168-021-01208-5	yes	yes	no	1
P0-pure-OA	bmc	10.1186	45	BMC Microbiol	36864380	10.1186/s12866-023-02791-3	yes	yes	yes	0
P0-pure-OA	bmc	10.1186	45	J Transl Med	36967379	10.1186/s12967-023-04054-1	yes	yes	no	1
P0-pure-OA	bmc	10.1186	45	BMC Bioinformatics	37003965	10.1186/s12859-023-05251-x	yes	no	no	2
P0-pure-OA	bmc	10.1186	45	Genome Med	37131219	10.1186/s13073-023-01180-9	yes	yes	no	1
P0-pure-OA	bmc	10.1186	45	BMC Med	37170273	10.1186/s12916-023-02751-8	yes	yes	no	1
P0-pure-OA	bmc	10.1186	45	J Transl Med	37291572	10.1186/s12967-023-04119-1	yes	yes	no	1
P0-pure-OA	bmc	10.1186	45	Microbiome	37507809	10.1186/s40168-023-01610-1	yes	yes	no	1
P0-pure-OA	bmc	10.1186	45	Gut Pathog	37596621	10.1186/s13099-023-00566-9	yes	yes	yes	0
P0-pure-OA	bmc	10.1186	45	BMC Microbiol	37644393	10.1186/s12866-023-02991-x	yes	yes	yes	0
P0-pure-OA	bmc	10.1186	45	BMC Microbiol	37644400	10.1186/s12866-023-02981-z	yes	yes	yes	0
P0-pure-OA	bmc	10.1186	45	Mol Cancer	37789383	10.1186/s12943-023-01869-w	yes	yes	no	1
P0-pure-OA	bmc	10.1186	45	J Transl Med	37814323	10.1186/s12967-023-04527-3	yes	yes	no	1
P0-pure-OA	asm	10.1128	18	mSystems	28951889	10.1128/mSystems.00065-17	yes	no	yes	1
P0-pure-OA	asm	10.1128	18	mSystems	29795787	10.1128/mSystems.00205-17	yes	no	yes	1
P0-pure-OA	asm	10.1128	18	mBio	30459201	10.1128/mBio.02248-18	yes	yes	yes	0
P0-pure-OA	asm	10.1128	18	mSystems	31098399	10.1128/mSystems.00332-18	yes	no	no	2
P0-pure-OA	asm	10.1128	18	mBio	31266879	10.1128/mBio.01454-19	yes	no	yes	1
P0-pure-OA	asm	10.1128	18	mBio	31311881	10.1128/mBio.01315-19	yes	yes	yes	0
P0-pure-OA	asm	10.1128	18	mSystems	33727392	10.1128/mSystems.00115-21	yes	yes	yes	0
P0-pure-OA	asm	10.1128	18	mBio	33824205	10.1128/mBio.00547-21	yes	yes	yes	0
P0-pure-OA	asm	10.1128	18	mSystems	33947803	10.1128/mSystems.00112-21	yes	yes	yes	0
P0-pure-OA	asm	10.1128	18	mBio	34225483	10.1128/mBio.01155-21	yes	no	yes	1
P0-pure-OA	asm	10.1128	18	mBio	35012354	10.1128/mbio.03161-21	yes	yes	yes	0
P0-pure-OA	asm	10.1128	18	Microbiol Spectr	36719190	10.1128/spectrum.02819-22	yes	no	yes	1
P0-pure-OA	asm	10.1128	18	Microbiol Spectr	36786568	10.1128/spectrum.05038-22	yes	no	no	2
P0-pure-OA	asm	10.1128	18	mSphere	36847529	10.1128/msphere.00626-22	yes	no	yes	1
P0-pure-OA	asm	10.1128	18	Microbiol Spectr	36877086	10.1128/spectrum.02065-22	yes	yes	yes	0
P0-pure-OA	asm	10.1128	18	Microbiol Spectr	37042765	10.1128/spectrum.05066-22	yes	yes	yes	0
P0-pure-OA	asm	10.1128	18	mSystems	37404032	10.1128/msystems.00531-23	yes	yes	yes	0
P0-pure-OA	asm	10.1128	18	mSystems	37458451	10.1128/msystems.00151-23	yes	yes	yes	0
P0-done	plos	10.1371	11	PLoS One	29852000	10.1371/journal.pone.0198342	yes	yes	yes	0
P0-done	plos	10.1371	11	PLoS One	30412600	10.1371/journal.pone.0207002	yes	yes	no	1
P0-done	plos	10.1371	11	PLoS One	30576312	10.1371/journal.pone.0208584	yes	yes	yes	0
P0-done	plos	10.1371	11	PLoS One	30794590	10.1371/journal.pone.0212406	yes	yes	no	1
P0-done	plos	10.1371	11	PLoS One	31199857	10.1371/journal.pone.0218436	yes	yes	no	1
P0-done	plos	10.1371	11	PLoS One	31211818	10.1371/journal.pone.0218274	yes	yes	no	1
P0-done	plos	10.1371	11	PLoS One	33662003	10.1371/journal.pone.0247905	yes	yes	no	1
P0-done	plos	10.1371	11	PLoS One	33690612	10.1371/journal.pone.0247798	yes	yes	yes	0
P0-done	plos	10.1371	11	PLoS Negl Trop Dis	36989208	10.1371/journal.pntd.0011170	yes	yes	yes	0
P0-done	plos	10.1371	11	PLoS One	37603579	10.1371/journal.pone.0290307	yes	yes	no	1
P0-done	plos	10.1371	11	PLoS One	37796924	10.1371/journal.pone.0292551	yes	yes	yes	0
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Anaerobe	28300642	10.1016/j.anaerobe.2017.03.012	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	J Nutr Biochem	29454999	10.1016/j.jnutbio.2018.01.005	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Microbiol Res	29458855	10.1016/j.micres.2017.12.004	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Methods	29704665	10.1016/j.ymeth.2018.04.024	no	no	yes	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Eur Urol	30007819	10.1016/j.eururo.2018.06.033	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Biochim Biophys Acta Mol Basis Dis	30292635	10.1016/j.bbadis.2018.10.006	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Nutrition	30711862	10.1016/j.nut.2018.10.038	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Cancer Epidemiol	30776583	10.1016/j.canep.2019.02.001	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	J Chromatogr A	31047664	10.1016/j.chroma.2019.04.028	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Int Immunopharmacol	31059977	10.1016/j.intimp.2019.02.038	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Clin Microbiol Infect	32835795	10.1016/j.cmi.2020.08.021	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Cancer Lett	33249197	10.1016/j.canlet.2020.11.030	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	J Nutr Biochem	33347911	10.1016/j.jnutbio.2020.108567	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Int J Radiat Oncol Biol Phys	33524545	10.1016/j.ijrobp.2021.01.032	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Mol Ther Nucleic Acids	33575112	10.1016/j.omtn.2020.12.017	yes	yes	no	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Genomics Proteomics Bioinformatics	33607296	10.1016/j.gpb.2020.06.015	yes	yes	no	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Infect Genet Evol	33771725	10.1016/j.meegid.2021.104816	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Microb Pathog	34022363	10.1016/j.micpath.2021.104964	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Comput Struct Biotechnol J	34188781	10.1016/j.csbj.2021.05.049	yes	yes	no	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Cell Mol Gastroenterol Hepatol	34418587	10.1016/j.jcmgh.2021.08.007	yes	no	yes	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Curr Opin Physiol	34514218	10.1016/j.cophys.2021.100472	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Cell Rep	34706245	10.1016/j.celrep.2021.109886	yes	no	yes	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Cell Mol Gastroenterol Hepatol	35688320	10.1016/j.jcmgh.2022.05.010	yes	yes	yes	0
P1-local-rescue	elsevier-or-cell_press	10.1016	54	J Ethnopharmacol	36572328	10.1016/j.jep.2022.116075	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	J Ethnopharmacol	36603786	10.1016/j.jep.2022.116125	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	J Cyst Fibros	36717332	10.1016/j.jcf.2023.01.013	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Exp Mol Pathol	36736685	10.1016/j.yexmp.2023.104855	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Cell Genom	36778661	10.1016/j.xgen.2022.100096	yes	yes	yes	0
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Eur J Cancer	36868056	10.1016/j.ejca.2023.01.024	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Int J Biol Macromol	36889619	10.1016/j.ijbiomac.2023.123927	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Mucosal Immunol	37004750	10.1016/j.mucimm.2023.03.006	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Neoplasia	37058886	10.1016/j.neo.2023.100901	yes	yes	yes	0
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Cell Host Microbe	37130517	10.1016/j.chom.2023.04.007	yes	no	yes	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Chin J Nat Med	37245872	10.1016/S1875-5364(23)60451-0	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Phytomedicine	37269754	10.1016/j.phymed.2023.154900	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	EBioMedicine	37343363	10.1016/j.ebiom.2023.104670	yes	yes	no	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Anaerobe	37380012	10.1016/j.anaerobe.2023.102757	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	J Ethnopharmacol	37429503	10.1016/j.jep.2023.116866	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Int J Radiat Oncol Biol Phys	37433373	10.1016/j.ijrobp.2023.06.2515	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Am J Clin Nutr	37474105	10.1016/j.ajcnut.2023.07.011	yes	yes	yes	0
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Heliyon	37483698	10.1016/j.heliyon.2023.e18035	yes	yes	yes	0
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Pharmacol Res	37586618	10.1016/j.phrs.2023.106891	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	J Adv Res	37619934	10.1016/j.jare.2023.08.014	yes	yes	no	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Ecotoxicol Environ Saf	37714033	10.1016/j.ecoenv.2023.115475	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Anaerobe	37806638	10.1016/j.anaerobe.2023.102784	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Neoplasia	37813000	10.1016/j.neo.2023.100939	yes	yes	no	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Clin Chim Acta	37832390	10.1016/j.cca.2023.117591	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	J Control Release	37898344	10.1016/j.jconrel.2023.10.039	no	no	no	3
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Heliyon	37928040	10.1016/j.heliyon.2023.e21057	yes	yes	no	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	ESMO Open	37951129	10.1016/j.esmoop.2023.102051	yes	yes	no	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Clin Colorectal Cancer	37980216	10.1016/j.clcc.2023.10.004	yes	no	no	2
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Transl Oncol	38029508	10.1016/j.tranon.2023.101845	yes	yes	no	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	Synth Syst Biotechnol	38099061	10.1016/j.synbio.2023.11.004	yes	yes	no	1
P1-local-rescue	elsevier-or-cell_press	10.1016	54	J Cyst Fibros	38104000	10.1016/j.jcf.2023.12.004	yes	no	yes	1
P1-local-rescue	wiley	10.1002	26	Mol Carcinog	28926134	10.1002/mc.22738	no	no	no	3
P1-local-rescue	wiley	10.1002	26	J Mass Spectrom	28940471	10.1002/jms.4032	yes	no	no	2
P1-local-rescue	wiley	10.1002	26	Mol Nutr Food Res	29750437	10.1002/mnfr.201800178	yes	yes	no	1
P1-local-rescue	wiley	10.1002	26	Int J Cancer	30365870	10.1002/ijc.31941	no	no	no	3
P1-local-rescue	wiley	10.1002	26	Cancer Med	30575318	10.1002/cam4.1913	yes	yes	no	1
P1-local-rescue	wiley	10.1002	26	J Genet Couns	30710467	10.1002/jgc4.1048	yes	no	no	2
P1-local-rescue	wiley	10.1002	26	Mol Oncol	31254442	10.1002/1878-0261.12539	yes	yes	no	1
P1-local-rescue	wiley	10.1002	26	Int J Cancer	33844851	10.1002/ijc.33596	yes	no	no	2
P1-local-rescue	wiley	10.1002	26	JGH Open	33860101	10.1002/jgh3.12529	yes	yes	no	1
P1-local-rescue	wiley	10.1002	26	Mol Oncol	34328665	10.1002/1878-0261.13070	yes	yes	no	1
P1-local-rescue	wiley	10.1002	26	Prostate	34516694	10.1002/pros.24223	yes	no	no	2
P1-local-rescue	wiley	10.1002	26	J Cachexia Sarcopenia Muscle	34585527	10.1002/jcsm.12798	yes	yes	yes	0
P1-local-rescue	wiley	10.1002	26	Cancer Med	34821068	10.1002/cam4.4384	yes	no	no	2
P1-local-rescue	wiley	10.1002	26	BJUI Compass	35475151	10.1002/bco2.104	yes	no	no	2
P1-local-rescue	wiley	10.1002	26	Int J Cancer	36522829	10.1002/ijc.34398	yes	no	no	2
P1-local-rescue	wiley	10.1002	26	Cancer Med	36999930	10.1002/cam4.5868	yes	yes	no	1
P1-local-rescue	wiley	10.1002	26	Cancer Med	37260140	10.1002/cam4.6194	yes	yes	no	1
P1-local-rescue	wiley	10.1002	26	Cancer Med	37387515	10.1002/cam4.6281	yes	yes	no	1
P1-local-rescue	wiley	10.1002	26	Cancer Med	37548332	10.1002/cam4.6414	yes	yes	no	1
P1-local-rescue	wiley	10.1002	26	Mol Oncol	37558206	10.1002/1878-0261.13506	yes	yes	yes	0
P1-local-rescue	wiley	10.1002	26	Cancer Med	37641475	10.1002/cam4.6483	yes	yes	no	1
P1-local-rescue	wiley	10.1002	26	Cancer Med	37766594	10.1002/cam4.6534	yes	no	no	2
P1-local-rescue	wiley	10.1002	26	J Pathol	37792663	10.1002/path.6196	yes	no	no	2
P1-local-rescue	wiley	10.1002	26	Genes Chromosomes Cancer	37795928	10.1002/gcc.23208	yes	no	no	2
P1-local-rescue	wiley	10.1002	26	Immun Inflamm Dis	38018574	10.1002/iid3.1067	yes	no	no	2
P1-local-rescue	wiley	10.1002	26	J Sci Food Agric	38111159	10.1002/jsfa.13227	yes	no	no	2
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	28914591	10.1080/19490976.2017.1379637	yes	no	yes	1
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	29420132	10.1080/19490976.2018.1435246	yes	no	no	2
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	29517944	10.1080/19490976.2018.1441663	yes	no	no	2
P1-local-rescue	taylor-francis	10.1080	23	Cancer Biol Ther	29580161	10.1080/15384047.2018.1456605	yes	no	yes	1
P1-local-rescue	taylor-francis	10.1080	23	Cancer Biol Ther	30239257	10.1080/15384047.2018.1507255	yes	no	no	2
P1-local-rescue	taylor-francis	10.1080	23	Nutr Cancer	30843732	10.1080/01635581.2019.1578394	no	no	no	2
P1-local-rescue	taylor-francis	10.1080	23	Emerg Microbes Infect	31169073	10.1080/22221751.2019.1622455	yes	yes	no	1
P1-local-rescue	taylor-francis	10.1080	23	Expert Rev Pharmacoecon Outcomes Res	33852815	10.1080/14737167.2021.1917385	yes	no	no	2
P1-local-rescue	taylor-francis	10.1080	23	Nutr Cancer	34192986	10.1080/01635581.2021.1944649	no	no	no	2
P1-local-rescue	taylor-francis	10.1080	23	Oncoimmunology	34595059	10.1080/2162402X.2021.1976953	yes	yes	no	1
P1-local-rescue	taylor-francis	10.1080	23	Nucleosides Nucleotides Nucleic Acids	34844511	10.1080/15257770.2021.2008432	no	no	no	2
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	35188868	10.1080/19490976.2022.2038863	yes	yes	no	1
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	35259052	10.1080/19490976.2022.2046246	yes	yes	no	1
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	35638103	10.1080/19490976.2022.2078620	yes	yes	yes	0
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	35877697	10.1080/19490976.2022.2100203	yes	yes	no	1
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	36050867	10.1080/19490976.2022.2107387	yes	yes	no	1
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	36343662	10.1080/19490976.2022.2132903	yes	yes	no	1
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	36369736	10.1080/19490976.2022.2139979	yes	yes	no	1
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	37635357	10.1080/19490976.2023.2245562	yes	yes	yes	0
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	37702461	10.1080/19490976.2023.2255345	yes	yes	no	1
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	37795995	10.1080/19490976.2023.2263934	yes	yes	no	1
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	37842920	10.1080/19490976.2023.2265138	yes	yes	no	1
P1-local-rescue	taylor-francis	10.1080	23	Gut Microbes	38038385	10.1080/19490976.2023.2288200	yes	yes	no	1
P1-local-rescue	elsevier-gastro	10.1053	8	Gastroenterology	28823860	10.1053/j.gastro.2017.08.022	no	no	no	3
P1-local-rescue	elsevier-gastro	10.1053	8	Gastroenterology	29689266	10.1053/j.gastro.2018.04.018	yes	no	no	2
P1-local-rescue	elsevier-gastro	10.1053	8	Gastroenterology	30063920	10.1053/j.gastro.2018.07.028	yes	no	no	2
P1-local-rescue	elsevier-gastro	10.1053	8	Gastroenterology	30550822	10.1053/j.gastro.2018.12.003	no	no	no	3
P1-local-rescue	elsevier-gastro	10.1053	8	Gastroenterology	32920015	10.1053/j.gastro.2020.09.003	no	no	no	3
P1-local-rescue	elsevier-gastro	10.1053	8	Gastroenterology	33581124	10.1053/j.gastro.2021.02.020	yes	no	no	2
P1-local-rescue	elsevier-gastro	10.1053	8	Gastroenterology	34126062	10.1053/j.gastro.2021.06.009	yes	no	yes	1
P1-local-rescue	elsevier-gastro	10.1053	8	Gastroenterology	36933623	10.1053/j.gastro.2023.03.205	yes	no	no	2
P1-local-rescue	wiley	10.1111	5	Cancer Sci	29288512	10.1111/cas.13497	yes	yes	no	1
P1-local-rescue	wiley	10.1111	5	Environ Microbiol	30548192	10.1111/1462-2920.14498	yes	yes	no	1
P1-local-rescue	wiley	10.1111	5	Cancer Sci	34449929	10.1111/cas.15119	yes	yes	no	1
P1-local-rescue	wiley	10.1111	5	J Gastroenterol Hepatol	34907602	10.1111/jgh.15760	yes	no	no	2
P1-local-rescue	wiley	10.1111	5	Colorectal Dis	37743721	10.1111/codi.16733	yes	no	no	2
P2-batch-probe	aacr	10.1158	13	Cancer Prev Res (Phila)	29636352	10.1158/1940-6207.CAPR-17-0370	yes	no	no	2
P2-batch-probe	aacr	10.1158	13	Cancer Epidemiol Biomarkers Prev	30373903	10.1158/1055-9965.EPI-18-0542	no	no	no	3
P2-batch-probe	aacr	10.1158	13	Cancer Epidemiol Biomarkers Prev	30523039	10.1158/1055-9965.EPI-18-0773	yes	no	no	2
P2-batch-probe	aacr	10.1158	13	Clin Cancer Res	33298472	10.1158/1078-0432.CCR-20-3445	yes	no	no	2
P2-batch-probe	aacr	10.1158	13	Cancer Prev Res (Phila)	33361317	10.1158/1940-6207.CAPR-20-0270	yes	no	no	2
P2-batch-probe	aacr	10.1158	13	Clin Cancer Res	33547199	10.1158/1078-0432.CCR-20-4699	yes	no	no	2
P2-batch-probe	aacr	10.1158	13	Cancer Res	34162680	10.1158/0008-5472.CAN-21-0453	no	no	no	3
P2-batch-probe	aacr	10.1158	13	Clin Cancer Res	34433650	10.1158/1078-0432.CCR-21-1906	yes	no	no	2
P2-batch-probe	aacr	10.1158	13	Cancer Epidemiol Biomarkers Prev	34737207	10.1158/1055-9965.EPI-21-0463	yes	no	no	2
P2-batch-probe	aacr	10.1158	13	Cancer Epidemiol Biomarkers Prev	34782392	10.1158/1055-9965.EPI-21-0188	yes	no	no	2
P2-batch-probe	aacr	10.1158	13	Cancer Immunol Res	35101901	10.1158/2326-6066.CIR-21-0666	yes	no	no	2
P2-batch-probe	aacr	10.1158	13	Cancer Epidemiol Biomarkers Prev	36525653	10.1158/1055-9965.EPI-22-0608	yes	no	yes	1
P2-batch-probe	aacr	10.1158	13	Cancer Discov	36862804	10.1158/2159-8290.CD-22-0966	yes	yes	no	1
P2-batch-probe	oup	10.1093	10	J Antimicrob Chemother	29438479	10.1093/jac/dky016	yes	no	no	2
P2-batch-probe	oup	10.1093	10	Am J Epidemiol	29608646	10.1093/aje/kwy064	yes	no	no	2
P2-batch-probe	oup	10.1093	10	Inflamm Bowel Dis	30794281	10.1093/ibd/izz020	yes	no	no	2
P2-batch-probe	oup	10.1093	10	J Nutr	31051496	10.1093/jn/nxy255	yes	no	no	2
P2-batch-probe	oup	10.1093	10	Am J Clin Nutr	31175806	10.1093/ajcn/nqy325	no	no	no	3
P2-batch-probe	oup	10.1093	10	Am J Clin Nutr	31291462	10.1093/ajcn/nqz139	no	no	no	3
P2-batch-probe	oup	10.1093	10	Bioinformatics	33346799	10.1093/bioinformatics/btaa1056	yes	no	no	2
P2-batch-probe	oup	10.1093	10	NAR Cancer	34988460	10.1093/narcan/zcab049	yes	yes	no	1
P2-batch-probe	oup	10.1093	10	Brief Bioinform	37406190	10.1093/bib/bbad255	yes	no	no	2
P2-batch-probe	oup	10.1093	10	BJS Open	38006331	10.1093/bjsopen/zrad105	yes	yes	no	1
P2-batch-probe	oncotarget	10.18632	7	Oncotarget	29228570	10.18632/oncotarget.18241	yes	yes	no	1
P2-batch-probe	oncotarget	10.18632	7	Oncotarget	29340028	10.18632/oncotarget.20677	yes	yes	no	1
P2-batch-probe	lww	10.1097	7	J Clin Gastroenterol	29432368	10.1097/MCG.0000000000000979	no	no	no	3
P2-batch-probe	sage	10.1177	7	United European Gastroenterol J	29435321	10.1177/2050640617708953	yes	no	no	2
P2-batch-probe	oncotarget	10.18632	7	Oncotarget	29755661	10.18632/oncotarget.24912	yes	yes	no	1
P2-batch-probe	oncotarget	10.18632	7	Oncotarget	29755677	10.18632/oncotarget.25042	yes	yes	no	1
P2-batch-probe	oncotarget	10.18632	7	Oncotarget	30112118	10.18632/oncotarget.25778	yes	no	no	2
P2-batch-probe	sage	10.1177	7	Int J Tryptophan Res	30944520	10.1177/1178646919834550	yes	yes	yes	0
P2-batch-probe	sage	10.1177	7	Tumori	31068090	10.1177/0300891619847085	no	no	no	3
P2-batch-probe	oncotarget	10.18632	7	Oncotarget	31289620	10.18632/oncotarget.6463	yes	no	no	2
P2-batch-probe	sage	10.1177	7	Biol Res Nurs	33541122	10.1177/1099800421991656	no	no	no	3
P2-batch-probe	lww	10.1097	7	J Chin Med Assoc	33660622	10.1097/JCMA.0000000000000510	yes	no	no	2
P2-batch-probe	lww	10.1097	7	Eur J Gastroenterol Hepatol	34213504	10.1097/MEG.0000000000002181	no	no	no	3
P2-batch-probe	lww	10.1097	7	Ann Surg	35129506	10.1097/SLA.0000000000005261	no	no	yes	2
P2-batch-probe	oncotarget	10.18632	7	Aging (Albany NY)	35212644	10.18632/aging.203914	yes	no	yes	1
P2-batch-probe	sage	10.1177	7	Integr Cancer Ther	36412281	10.1177/15347354221138534	yes	no	no	2
P2-batch-probe	sage	10.1177	7	Biol Res Nurs	36859821	10.1177/10998004231159623	yes	no	no	2
P2-batch-probe	sage	10.1177	7	J Dent Res	36942967	10.1177/00220345231158269	no	no	no	3
P2-batch-probe	lww	10.1097	7	Chin Med J (Engl)	36959686	10.1097/CM9.0000000000002421	yes	no	no	2
P2-batch-probe	lww	10.1097	7	Ann Surg	37465976	10.1097/SLA.0000000000006015	yes	no	no	2
P2-batch-probe	lww	10.1097	7	Chin Med J (Engl)	37553874	10.1097/CM9.0000000000002752	yes	no	no	2
P2-batch-probe	mid-N-unknown	10.1155	5	Gastroenterol Res Pract	29887882	10.1155/2018/5284754	yes	no	no	2
P2-batch-probe	mid-N-unknown	10.1155	5	Evid Based Complement Alternat Med	30891076	10.1155/2019/3870812	yes	no	no	2
P2-batch-probe	mid-N-unknown	10.1155	5	Depress Res Treat	35003805	10.1155/2021/7967552	yes	no	no	2
P2-batch-probe	mid-N-unknown	10.1155	5	Dis Markers	35096207	10.1155/2022/7994074	yes	no	no	2
P2-batch-probe	mid-N-unknown	10.1155	5	Comput Math Methods Med	35251295	10.1155/2022/1940846	yes	yes	no	1
P2-batch-probe	mid-N-unknown	10.7150	4	Theranostics	31281534	10.7150/thno.35186	yes	yes	no	1
P2-batch-probe	mid-N-unknown	10.7150	4	Theranostics	34158863	10.7150/thno.59196	yes	yes	no	1
P2-batch-probe	mid-N-unknown	10.7150	4	Theranostics	35265196	10.7150/thno.66464	yes	yes	no	1
P2-batch-probe	mid-N-unknown	10.7150	4	J Cancer	37325051	10.7150/jca.83395	yes	no	no	2
IGNORE-not-worth-chasing	long-tail-singleton	10.1089	3	J Comput Biol	30106318	10.1089/cmb.2018.0072	no	no	no	3
IGNORE-not-worth-chasing	long-tail-singleton	10.2147	3	Cancer Manag Res	30323670	10.2147/CMAR.S176260	yes	no	no	2
IGNORE-not-worth-chasing	long-tail-singleton	10.1021	3	Anal Chem	30433760	10.1021/acs.analchem.8b03727	no	no	no	3
IGNORE-not-worth-chasing	long-tail-singleton	10.2147	3	Clin Exp Gastroenterol	30666146	10.2147/CEG.S186097	yes	no	yes	1
IGNORE-not-worth-chasing	long-tail-singleton	10.1159	3	Inflamm Intest Dis	30820436	10.1159/000495462	yes	no	no	2
IGNORE-not-worth-chasing	long-tail-singleton	10.1089	3	J Comput Biol	30942618	10.1089/cmb.2018.0224	yes	no	no	2
IGNORE-not-worth-chasing	long-tail-singleton	10.2147	3	Cancer Manag Res	33776484	10.2147/CMAR.S294936	yes	no	no	2
IGNORE-not-worth-chasing	long-tail-singleton	10.1021	3	J Proteome Res	34053222	10.1021/acs.jproteome.1c00147	no	no	no	3
IGNORE-not-worth-chasing	long-tail-singleton	10.1039	3	RSC Chem Biol	34458799	10.1039/d0cb00228c	yes	yes	no	1
IGNORE-not-worth-chasing	long-tail-singleton	10.1159	3	Digestion	34619680	10.1159/000519487	no	no	no	3
IGNORE-not-worth-chasing	long-tail-singleton	10.1159	3	Digestion	36349755	10.1159/000527170	no	no	no	3
