pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	disease	mixed_content	reasoning_path
25758642	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina	human	cross-sectional-case-control	CRC+adenoma		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_25758642.md
28940471	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	tissue	LC-MS/MS	none	human	paired-tumor-normal	CRC	non-microbiome-methylation-paper	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28940471.md
29145893	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	unknown	unknown	unknown	unknown	unknown	unknown	empty-text-extraction	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29145893.md
29340028	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PASS	saliva	16S	unknown	human	cross-sectional-case-control	HNSCC	supp-only-text	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29340028.md
29755677	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	saliva	16S-clone	Sanger	human	healthy-sex-comparison	none		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29755677.md
29995183	OUT-OF-SCOPE	HIGH	PASS	PASS	PARTIAL	FAIL	PASS	stool	16S	Ion-PGM	human	cross-sectional-case-control	GIT-mixed(includes-CRC)	ion-torrent-only-no-illumina-subset	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29995183.md
30115102	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	FAIL	PASS	none	none	none	human	systematic-review-protocol	endometrial-cancer		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30115102.md
30233512	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	colon-tissue	shotgun-WGS	unknown	rat	animal-intervention	CRC-rat-model	rat-only	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30233512.md
30459201	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS+virome+16S	Illumina-HiSeq-4000	human	cross-sectional-case-control	CRC+adenoma	16S-reused-from-prior-study;new-WGS+virome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30459201.md
30604764	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	FAIL	NOT-STATED	PASS	stool+biopsy	16S+RNAseq	unknown	human	cross-sectional-case-control	UC(IBD)		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30604764.md
30794590	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	PASS	PASS	colonoscopy-aspirate	16S	Illumina-MiSeq	human	cross-sectional-case-control	CRC+adenoma	substrate=intestinal-aspirate	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30794590.md
30944520	OUT-OF-SCOPE	HIGH	FAIL	NOT-STATED	FAIL	NOT-STATED	PASS	unknown	meta-analysis	none	human	reanalysis-only	mixed	reanalysis-of-17-public-studies	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30944520.md
31060614	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	stool(rat)	16S	unknown	rat	animal-intervention	CRC-rat-model	rat-only	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31060614.md
31171880	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina-HiSeq2500	human	cross-sectional-case-control	CRC+adenoma		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31171880.md
31250341	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	PASS	PASS	mucosal-luminal-interface	16S	Illumina	human	cross-sectional-case-control	CRC	substrate=mucosal-luminal-not-stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31250341.md
31289620	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	FAIL	NOT-STATED	none	review	none	mixed	review	CRC	review-article	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31289620.md
31370880	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	unknown	unknown	unknown	unknown	unknown	unknown	text-extraction-incomplete	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31370880.md
32974807	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	biopsy	16S	Illumina-MiSeq	human	oral-health-strata-in-polyp-free	none(polyp-free)	biopsy+all-polyp-free	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_32974807.md
33492618	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	NOT-STATED	PASS	stool	16S	unknown	human	cross-sectional-case-control	Lynch-syndrome-extraintestinal-cancer	tiny-N=8;non-CRC-cancers	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33492618.md
33660622	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	PASS	PASS	stool	16S	Illumina-MiSeq	human	post-surgery-vs-control	gastric-cancer+CRC-post-surgery	post-treatment-cohort	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33660622.md
33758296	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	NOT-STATED	PASS	stool	16S	unknown	human	cross-sectional-case-control	gallstones/cholecystectomy		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33758296.md
33824205	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	FAIL	PARTIAL	tumor-tissue+mouse	qPCR+RNAseq	none-NGS	mixed-human-and-mouse	aspirin-user-strata	CRC-adenoma	no-stool-metagen	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33824205.md
33996615	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	unknown	unknown	unknown	unknown	unknown	unknown	empty-text-extraction	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33996615.md
34150751	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	stool(mouse)	16S	unknown	mouse	animal-intervention	CAC-mouse-model	mouse-only	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34150751.md
34225483	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	stool(mouse)	16S	unknown	mouse	animal-intervention	NAFLD-mouse-model	mouse-only	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34225483.md
34328665	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	NOT-STATED	PASS	tissue(tumor+normal+mets)	shotgun-WGS	unknown	human	paired-tissue	CRC	tissue-only-no-stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34328665.md
34440574	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	NOT-STATED	PASS	mucosal-tissue	16S	unknown	human	cross-sectional-case-control	CRC-stages	mucosal-biopsy-only	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34440574.md
34516694	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	FAIL	NOT-STATED	PASS	rectal-swab	16S	unknown	human	cross-sectional-case-control	prostate-enlargement(BPH)	rectal-swab+non-CRC-disease	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34516694.md
34595059	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PASS	blood-plasma	16S	unknown	human	treatment-arm-comparison	CRC-advanced	blood-not-stool;treatment-arms	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34595059.md
34638284	PARTIAL	HIGH	PASS	PARTIAL	PARTIAL	PASS	PASS	stool-swab+mucosa+tumor	16S	Illumina-MiSeq	human	CRC-only-stratified	CRC-stage0-IV	stool-swab-subset;CRC-only	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34638284.md
34745023	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	PASS	reanalysis	meta-analysis	none	human	DB-mining	mixed	reanalysis-of-UHGG+public-metagenomes	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34745023.md
34821068	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PASS	plasma	ctDNA-panel	unknown	human	CRC-treatment-cohort	mCRC	liquid-biopsy-not-microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34821068.md
34937766	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	unknown	unknown	unknown	unknown	unknown	unknown	text-only-supp-cover	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34937766.md
34956908	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	NOT-STATED	PASS	blood+tissue	SNP-genotyping	unknown	human	cross-sectional-case-control	CRC	not-microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_34956908.md
