pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	disease	mixed_content	reasoning_path
28300642	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	biopsy	other-targeted-16S-Sanger-of-Brachyspira	not stated (Sanger-style capillary)	human	other-case-series	human intestinal spirochetosis	targeted single-taxon 16S PCR-Sanger typing on colonic biopsies; not community amplicon	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28300642.md
29689266	IN-SCOPE	MEDIUM	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina (Nextera/TruSeq adapters; model not stated in main text)	human	cross-sectional-case-control	colorectal cancer	discovery cohort partly reuses previously-published HK metagenomes plus 37 new controls; 3 validation cohorts	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29689266.md
30292635	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	mixed	16S	Illumina MiSeq	mixed-human-and-mouse	other-mouse-genotype-comparison	colorectal cancer (human tissue qPCR); Pten-KO mice	human sub-cohort tissue-only qPCR; only mouse fecal 16S — no human stool sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30292635.md
33224717	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	other-none	other-none	N/A	other-N/A	other-narrative-review	N/A	Review: gut microbiota, dietary phytochemicals, human health	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33224717.md
33852815	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	other-none	other-none	N/A	other-N/A	other-cost-effectiveness-analysis	N/A	Health-economics costing analysis for oncology WGS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33852815.md
28988196	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED (supp OTU tables only)	NOT-STATED (OTU-based; implies 16S)	not stated	NOT-STATED	NOT-STATED (columns imply CRC vs POL vs HC)	colorectal cancer + polyp (implied by table headers)	extract file contains only supplementary OTU/ANCOM tables; no methods to cite	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28988196.md
29228570	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	other-mouse-feces (human tissue for IHC/Western only)	16S (mouse)	not stated	mixed-human-and-mouse	intervention (AOM/DSS in CK8+/- vs WT mice)	colitis-associated colorectal cancer	human tissue IHC/Western only; 16S is on CK8+/- vs WT mice	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29228570.md
29375539	IN-SCOPE	HIGH	PASS	PARTIAL	PASS	PASS	PASS	stool (also biopsy CT + saliva)	16S	Illumina MiSeq	human	cross-sectional-case-control	colorectal cancer	multi-substrate pilot (stool + saliva + tumor tissue); only paired 10-vs-10 fecal 16S qualifies; PRJNA356414	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29375539.md
29852000	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	not stated	NOT-STATED	NOT-STATED (figure implies tumor vs control)	NOT-STATED	extract file contains only Bray-Curtis / Jaccard NMDS figure content; no main text	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29852000.md
30008808	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	FAIL	PASS	stool	other-LC-MS/MS-shotgun-proteomics	N/A (mass spectrometry; no sequencing)	human	cross-sectional-case-control	colorectal cancer	stool proteomics not sequencing; N=26 CRC + 20 non-CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30008808.md
