pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	disease	mixed_content	reasoning_path
27742762	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	oral-wash	16S	Roche 454 FLX Titanium	human	nested-case-control	pancreatic-cancer		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_27742762.md
28951889	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	cecal-contents	shotgun-WGS	Illumina (100bp PE)	mouse-only	other-mouse-genotype-x-Hh-2x2	CRC-mouse-model		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28951889.md
29214046	OUT-OF-SCOPE	MEDIUM	FAIL	FAIL	FAIL	NOT-STATED	PASS	mixed	16S	N/A	human	other-meta-analysis	CRC	meta-analysis of Dejea/MalaysiaIGS/Nakatsu/Geng/Sobhani/Baxter/Zackular/Zeller	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29214046.md
29361968	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	mouse-feces	16S	not stated	mouse-only	intervention	obesity-mouse-model		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29361968.md
29687353	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	CRC		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29687353.md
29795787	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	unknown	unknown	not stated	unknown	unknown	unknown	text-file-only-contains-supp-fig-caption	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29795787.md
30157754	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	CRC+adenoma+polyps	biopsies also collected but 16S is on stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30157754.md
30245977	OUT-OF-SCOPE	MEDIUM	NOT-STATED	FAIL	FAIL	FAIL	PASS	colonic-mucosa	qPCR	none	human	cross-sectional-case-control-non-CRC	IBD	text-file-only-contains-supp-material	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30245977.md
30007819	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PASS	rectal-swab	16S	not stated	human	cross-sectional-case-control	prostate-cancer		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30007819.md
30710467	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	PASS	none	none	none	human	other-public-opinion-survey	none (hypothetical scenarios)		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30710467.md
