pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	disease	mixed_content	reasoning_path
28600626	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	biopsy	mixed	Illumina MiSeq+HiSeq	human	cross-sectional-tumor-vs-adjacent	CRC	tissue-only-no-stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28600626.md
29041989	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	unknown	unknown	unknown	unknown	unknown	unknown	text-extract-figures-only	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29041989.md
29250055	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	oral-swab	16S	Illumina MiSeq	human	cross-sectional-case-control	oral-leukoplakia	oral-not-colorectal	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29250055.md
29458332	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	blood-germline-DNA	targeted-panel	Illumina MiSeq	human	familial-genetics-case-series	CRC-familial	not-microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29458332.md
29705968	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	tumor-FFPE	targeted-panel	Illumina MiSeq	human	tumor-mutation-profiling	CRC	somatic-mutation-not-microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29705968.md
29887882	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	PASS	PASS	colonic-mucosal-jet-wash	shotgun-WGS	Illumina GAIIx+HiSeq 2000	human	cross-sectional-case-control	CRC	colonic-aspirate-not-stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29887882.md
30065719	PARTIAL	HIGH	PASS	PASS	PARTIAL	PASS	PASS	stool	16S	Illumina HiSeq 2500	human	cross-sectional-case-control+treated-strata	CRC	CRC-vs-healthy-clean-plus-post-treatment-strata	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30065719.md
30205580	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	NOT-STATED	FAIL	stool	16S	unspecified	mouse	intervention	CRC-model	mouse-only-no-human	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30205580.md
30376889	OUT-OF-SCOPE	MEDIUM	NOT-STATED	FAIL	PARTIAL	NOT-STATED	PASS	biopsy	unknown	unspecified	human	tumor-vs-normal-adjacent	CRC-dMMR-pMMR	tissue-only-supp-tables-only-in-extract	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30376889.md
30548192	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	unknown	unknown	unknown	unknown	unknown	unknown	text-extract-only-figure	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30548192.md
30717284	OUT-OF-SCOPE	HIGH	FAIL	PASS	PARTIAL	NOT-STATED	PASS	stool(source)	shotgun-WGS(source)	unspecified	human	ML-reanalysis-of-public-data	CRC	reanalysis-only-of-Feng-Zeller-CRC-WGS	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30717284.md
30891076	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	FAIL	FAIL	stool	16S	Ion Torrent IonS5 XL	mouse	intervention	CRC-mouse-model	mouse-Ion-Torrent-intervention	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30891076.md
31035942	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	PASS	PASS	FFPE-tissue	16S	Illumina MiSeq	human	cross-sectional-case-control	CRC+adenoma+diverticular	tissue-only-no-stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31035942.md
31098399	OUT-OF-SCOPE	HIGH	FAIL	PASS	PARTIAL	NOT-STATED	PASS	stool(source)	shotgun-WGS(source)	unspecified	human	cross-study-meta-analysis	multi-disease-incl-CRC	reanalysis-only-meta-analysis	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31098399.md
31211818	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	PASS	PASS	stool	16S+ITS2	Illumina MiSeq	human	cross-sectional-case-control	H-pylori-infection	non-colorectal-case	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31211818.md
31275588	PARTIAL	LOW	PASS	PARTIAL	PASS	NOT-STATED	PASS	mixed-stool+biopsy+rectal-swab	16S	unspecified	human	cross-sectional-case-control	colorectal-polyp	stool-subcohort-scope-rectal-swab-partial-biopsy-out	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31275588.md
31349572	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	environmental-isolates	phylogenetic-16S	unspecified	cyanobacteria	environmental-screening	NA	environmental-cyanotoxin-study-CRC-only-cell-line	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31349572.md
31428073	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	NOT-STATED	PASS	saliva	16S	unspecified	human	cross-sectional-case-control	digestive-tract-cancers	saliva-mixed-cancer-sites-incl-CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_31428073.md
33262469	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	PASS	ileal-mucus	16S(reanalyzed)	unspecified	mixed-human-and-mouse	prognostic-stratification	CRC-proximal	reanalysis-plus-mouse-model-ileal-not-stool	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33262469.md
33575112	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PASS	plasma+tumor-tissue	ccf-mtDNA-capture	unspecified	human	biomarker-tech-development	multi-cancer	plasma-mtDNA-not-microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33575112.md
33727392	UNCERTAIN	LOW	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	NOT-STATED	unknown	unknown	unknown	unknown	unknown	unknown	text-extract-broken	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33727392.md
33809130	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	PASS	PASS	stool	16S	Illumina MiSeq	human	intervention-RCT-crossover	healthy-postmenopausal-women	healthy-cohort-not-CRC	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33809130.md
33860101	OUT-OF-SCOPE	HIGH	PASS	PASS	PASS	FAIL	PASS	stool	16S	Ion Proton	human	cross-sectional-case-control	CRC-obesity-stratified	Ion-Torrent-only-not-Illumina	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_33860101.md
