pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	disease	mixed_content	reasoning_path
28837129	OUT-OF-SCOPE	HIGH	FAIL	PASS	FAIL	NOT-STATED	PASS	stool	shotgun-WGS	not stated	human	other-multi-cohort-reanalysis	multi-disease-non-CRC	Re-analysis of 12 public gut metagenomes (T2D, IBD, cirrhosis, obesity, STEC, healthy, CRC-Zeller); no new sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28837129.md
29104759	OUT-OF-SCOPE	HIGH	PASS	PASS	FAIL	NOT-STATED	PASS	stool	shotgun-WGS	not stated	human	other-phenotype-stratification	healthy-metabolizer-phenotypes	20 healthy adults stratified by SN-38G metabolizer phenotype; no CRC cases	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29104759.md
29288512	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	other-colorectum-tissue	16S	not stated	mouse-only	intervention	colitis-associated-cancer-mouse-model	AOM/DSS mouse CAC model with probiotic Bifico intervention; no humans	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29288512.md
29494510	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	FAIL	FAIL	FAIL	other-rat-caecum-feces	16S	Ion Torrent PGM	other-rat	intervention	AOM/DSS-rat-CRC-model	Fischer-344 rat AOM/DSS anthocyanin sausage prevention; Ion PGM; no humans	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29494510.md
29750437	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	FAIL	PASS	PASS	mixed	16S	Illumina HiSeq	human	intervention	healthy-green-tea-intervention	12 healthy volunteers longitudinal green-tea liquid intervention with paired stool + saliva 16S; no CRC group	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29750437.md
29985435	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	16S	Illumina MiSeq	human	cross-sectional-case-control	CRC-adenoma-carcinoma-sequence	Healthy vs HP/LRA/HRA/ADK adenoma-carcinoma sequence; ADK-T (post-treatment) is a secondary comparator	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29985435.md
30072967	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	other-bacterial-isolate	other-isolate-genome-phenotype	N/A	other-Streptomyces	other-isolate-descriptor	novel-species-descriptor	Streptomyces sp. novel-species descriptor; no cohort, no stool, no humans	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30072967.md
30208917	OUT-OF-SCOPE	HIGH	NOT-STATED	FAIL	FAIL	NOT-STATED	PASS	other-breast-duct-and-PBMC	other-flow-cytometry	N/A	human	other-immunology	breast-cancer	Breast Cancer Res paper on breast duct/PBMC cytokines; not CRC-microbiome	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30208917.md
30377189	OUT-OF-SCOPE	MEDIUM	PASS	NOT-STATED	FAIL	NOT-STATED	FAIL	other-mouse-model-dominant	other-not-stated-in-extracted-portion	not stated	mixed-mouse-and-possibly-human	intervention	CRC-mouse-model-Campylobacter	Extracted supplementary figures only; germ-free ApcMin/+ mouse + C. jejuni CdtB dominant; possible small human WGS sub-cohort not visible	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30377189.md
30575318	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	other-plasma-cfDNA-and-FFPE	other-cancer-panel-NGS	Ion S5 (Ion Torrent)	human	other-mCRC-only-single-arm	metastatic-CRC-only	Plasma ctDNA + FFPE cancer-gene panel on 101 mCRC on Ion S5; no microbiome, no healthy control	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30575318.md
